CompanyName,ContractLength,MonthsSinceSignup,TotalTransactions,AvgTransactionValue,TotalRevenue,ProductUsageFrequency,SupportTicketsOpened,SupportTicketResolutionTime,EmailOpenRate,AccountManagerCalls,ChurnStatus
Zoonoodle,11,45,272,77.69,441036.28,Daily,6,15.67,0.69,16,0
Npath,13,64,116,489.18,260705.24,Weekly,1,13.3,0.36,13,1
Geba,27,6,673,369.34,485831.28,Daily,36,19.74,0.85,13,1
Avamba,18,11,506,419.05,599574.16,Weekly,25,0.9,0.67,12,1
Zoomzone,9,16,972,73.86,218148.77,Daily,22,7.98,0.43,9,1
Centizu,32,64,328,845.55,786664.81,Monthly,26,21.02,0.89,8,0
Dazzlesphere,34,38,652,9.21,404315.6,Weekly,33,9.97,0.82,8,0
Voonte,15,40,594,941.34,646338.13,Weekly,35,1.28,0.14,3,0
Babbleset,17,111,559,506.18,454131.5,Monthly,31,21.9,0.3,5,0
Feedfire,20,66,437,151.36,75027.23,Monthly,20,15.52,0.01,15,1
Mydo,30,62,178,509.93,812372.08,Monthly,24,2.8,0.67,20,1
Myworks,16,0,625,503.63,719168.37,Weekly,3,19.66,0.79,11,0
Roodel,8,58,112,103.12,663121.47,Monthly,17,10.95,0.64,11,1
Ozu,35,105,211,447.86,758970.5,Monthly,13,2.62,0.83,14,1
Leexo,19,97,996,740.02,411760.98,Daily,32,1.29,0.22,11,1
Vinte,24,66,688,684.23,54423.29,Daily,14,17.73,0.98,3,1
Oyonder,22,72,361,699.3,538580.29,Monthly,48,7.17,0.8,8,1
Kwilith,19,80,607,146.29,15274.48,Daily,45,8.58,0.4,13,0
Blognation,7,82,739,270.67,791713.63,Monthly,5,2.06,0.52,7,1
Zoonder,3,84,308,371.9,299800.89,Daily,3,14.27,0.73,7,0
Realbuzz,34,7,200,29.41,783358.88,Daily,6,9.09,0.42,15,1
Skipfire,29,119,303,503.13,492923.2,Daily,25,20.84,0.38,14,0
Wikido,19,40,915,476.64,868669.74,Daily,16,0.62,0.65,3,1
Youspan,30,3,511,824.2,80377.45,Weekly,45,14.73,0.15,0,1
Thoughtstorm,33,16,425,380.1,584346.42,Daily,25,20.53,0.41,14,0
Edgeblab,4,106,468,509.14,83546.61,Monthly,42,19.72,0.86,8,1
Skimia,20,82,389,767.4,281901.12,Weekly,15,1.01,0.39,14,0
Meedoo,3,45,878,253.36,504849.22,Monthly,20,16.79,0.9,10,1
Mydo,2,49,57,347.74,120321.55,Daily,8,7.65,0.62,10,0
Linkbuzz,8,86,388,442.19,809224.09,Daily,49,22.84,0.47,4,1
Trunyx,7,66,536,844.93,105864.97,Monthly,3,1.15,0.03,16,1
Avaveo,13,57,212,862.74,574659.52,Monthly,47,5.96,0.17,12,1
Blogtags,26,78,766,480.64,862000.87,Weekly,40,14.75,0.67,6,1
Fiveclub,33,25,303,918.79,946373.05,Monthly,13,11.19,0.72,7,1
Rhyzio,22,111,747,692.29,776130.05,Daily,42,6.57,0.03,6,0
Browsedrive,10,109,197,445.04,337529.02,Daily,30,8.39,0.15,11,0
Skynoodle,31,28,913,988.27,706065.51,Weekly,26,12.65,0.65,10,0
Oyoyo,14,107,743,891.68,592704.61,Weekly,41,10.86,0.67,17,1
Eire,28,117,167,74.44,987530.57,Weekly,35,4.08,0.37,10,1
Podcat,30,18,779,401.9,8588.06,Weekly,3,17.27,0.92,1,0
Linktype,33,40,570,6.67,82595.05,Daily,17,18.61,0.22,6,1
Reallinks,26,110,708,399.55,334527.36,Weekly,14,20.23,0.02,1,0
Voolith,14,35,350,178.08,430220.26,Daily,43,10.76,0.67,19,0
Mybuzz,18,3,108,142.62,298739.22,Weekly,3,3.95,0.62,10,1
Realblab,7,103,695,342.47,143180.64,Weekly,27,22.87,0.51,19,1
Voonyx,16,63,758,941.79,609299.36,Monthly,36,17.0,0.87,2,0
Ntag,24,100,781,633.67,638525.46,Weekly,21,11.54,0.64,11,1
Zoombeat,30,108,132,457.64,251812.91,Daily,48,10.26,0.53,2,0
Dynabox,28,34,952,33.87,672576.49,Monthly,12,11.56,0.54,18,0
Shufflester,10,36,417,525.59,897173.68,Monthly,41,17.23,0.4,9,1
Tagpad,23,85,688,282.35,368268.81,Monthly,27,15.45,0.9,20,0
Livefish,18,110,639,951.14,763262.94,Daily,28,20.84,0.63,3,0
Skimia,9,49,138,949.74,767989.72,Weekly,43,10.82,0.91,0,1
Blogpad,3,40,796,239.8,871616.73,Daily,39,6.7,0.41,20,1
Twitterwire,29,92,865,428.14,557514.9,Daily,16,17.25,0.98,19,1
Skimia,2,87,401,566.78,769515.0,Monthly,40,20.18,0.72,16,1
Centidel,29,25,465,172.13,413366.31,Weekly,21,15.96,0.56,14,0
Rhycero,18,94,371,760.19,397096.22,Daily,0,5.96,0.86,4,1
Eamia,11,44,888,474.49,142957.48,Daily,27,3.01,0.91,3,1
Skipfire,9,92,732,808.31,63655.1,Monthly,26,3.53,0.28,18,0
Browsezoom,4,5,926,792.47,786342.87,Monthly,34,1.57,0.25,15,0
Ozu,12,0,799,586.7,176990.71,Weekly,3,11.43,0.14,3,0
Zoombox,26,95,752,416.42,916892.75,Weekly,4,21.22,0.37,10,0
JumpXS,1,59,588,234.0,748485.76,Weekly,26,18.56,0.39,20,1
Meevee,15,76,589,272.73,427364.91,Monthly,40,13.27,0.35,19,0
Mycat,12,7,861,499.09,102493.92,Daily,23,16.5,0.78,10,0
Trilia,24,108,19,678.95,608065.06,Monthly,27,17.65,0.37,14,0
Jaxworks,32,99,818,361.05,424694.79,Weekly,48,10.44,0.74,10,1
Minyx,6,71,748,202.7,949798.78,Monthly,17,13.54,0.38,2,0
Thoughtsphere,3,71,557,809.4,568472.74,Daily,15,9.55,0.48,14,0
Realfire,32,5,602,764.5,105166.09,Monthly,43,21.91,0.55,12,1
Meeveo,18,22,17,720.25,638305.86,Weekly,43,2.37,0.48,2,1
Rhybox,2,59,85,367.44,992906.08,Daily,21,0.61,0.97,13,1
Quinu,33,36,447,210.11,925899.4,Weekly,10,1.19,1.0,7,1
Brainlounge,35,106,923,239.52,902841.53,Daily,43,17.33,0.49,2,0
Brainlounge,27,107,748,939.83,763346.78,Weekly,48,0.78,0.85,5,0
Dazzlesphere,35,22,418,216.97,105647.86,Monthly,41,20.49,0.89,14,1
Voolith,24,11,338,130.56,482774.11,Weekly,43,10.21,0.82,11,1
Skynoodle,35,94,411,621.98,571404.65,Monthly,49,14.66,0.96,0,1
Yombu,32,98,661,803.17,548827.01,Daily,5,6.19,0.49,2,1
Twitterworks,32,102,531,179.48,550765.12,Monthly,0,12.73,0.25,5,1
Trupe,9,67,466,419.26,887724.29,Monthly,28,20.96,0.75,7,1
Voomm,7,92,19,241.91,956195.52,Monthly,36,3.23,0.92,2,1
Roombo,16,106,477,965.08,617547.09,Weekly,18,19.38,0.75,19,1
Livefish,10,65,553,515.41,739497.08,Monthly,0,16.09,0.9,1,1
Jabbersphere,7,17,31,625.07,899133.6,Weekly,31,8.71,0.25,15,0
Meedoo,20,114,946,355.93,636827.43,Monthly,6,12.72,0.53,20,1
Kwideo,4,19,910,669.96,367668.74,Monthly,49,11.32,0.44,17,0
Blogspan,17,69,996,270.56,817644.01,Weekly,38,14.55,0.81,16,0
Wikivu,1,113,980,236.47,604031.18,Monthly,22,9.41,0.14,20,1
Pixoboo,27,80,692,96.3,28509.02,Monthly,25,23.51,0.42,0,1
Edgepulse,8,66,475,426.03,513295.64,Monthly,39,9.25,0.85,17,1
Babblestorm,18,3,264,345.1,49041.5,Daily,28,5.2,0.89,18,0
Jaxspan,2,71,334,518.51,924652.52,Daily,27,12.03,0.63,2,1
Shuffledrive,10,69,620,645.97,903479.92,Daily,17,11.76,0.08,1,0
Quimm,22,92,244,431.54,947349.98,Daily,3,12.92,0.58,3,0
Jaxbean,28,78,340,880.59,319078.23,Daily,44,17.54,0.6,5,0
Devpoint,21,120,872,135.49,455950.08,Daily,28,4.77,0.75,13,1
Cogidoo,3,62,999,845.83,957337.95,Weekly,3,19.78,0.52,9,0
Chatterpoint,26,100,414,202.3,654723.48,Monthly,34,2.06,0.6,16,1
Plajo,30,114,92,840.77,888524.04,Monthly,29,8.44,0.98,14,1
Centidel,29,28,642,555.79,126031.73,Daily,36,17.66,0.21,15,1
Dabshots,17,60,58,123.03,333343.37,Weekly,14,6.57,0.53,1,1
Kwideo,18,76,602,746.65,636837.02,Daily,42,18.48,0.86,2,0
Topiczoom,19,63,378,471.34,456540.39,Weekly,32,23.53,0.51,2,0
Buzzster,15,96,111,839.33,186224.72,Monthly,5,15.26,0.93,13,1
Flipbug,13,77,289,108.35,376552.08,Weekly,17,0.49,0.19,19,1
Devcast,29,17,533,253.16,510380.47,Daily,14,2.73,0.42,17,0
Divape,11,107,351,367.23,121422.81,Daily,25,20.04,0.24,17,1
Blogtags,23,6,260,473.17,757451.7,Monthly,35,2.96,0.93,7,0
Bubbletube,21,10,621,84.63,585909.02,Weekly,19,2.71,0.99,9,0
Skalith,13,115,407,712.02,92254.53,Monthly,31,8.25,0.24,1,1
Yodo,10,88,952,525.28,688813.65,Daily,13,19.8,0.37,5,1
Topiclounge,20,2,145,610.61,232493.51,Monthly,25,13.15,0.9,3,1
Photofeed,25,68,310,220.63,148597.49,Monthly,20,0.03,0.43,13,0
Flashdog,24,47,429,21.14,282248.43,Monthly,30,16.6,0.15,1,0
Browsecat,16,44,742,347.47,582219.8,Monthly,18,14.1,0.38,1,1
Voolith,18,67,949,828.52,175897.92,Daily,48,5.79,0.13,3,0
Vinte,30,91,766,714.26,207005.06,Weekly,21,7.73,0.6,10,0
Podcat,30,21,614,674.76,19399.51,Monthly,16,13.47,0.35,5,1
Browsedrive,4,54,281,30.68,240393.74,Daily,10,16.64,0.58,20,0
Skiptube,25,12,699,817.32,89469.66,Daily,38,23.78,0.94,3,1
Aimbu,35,4,284,356.78,910125.97,Monthly,37,7.87,0.72,2,1
Browsedrive,19,15,533,575.42,904081.78,Monthly,28,12.53,0.75,20,1
Feednation,10,19,913,532.2,520556.13,Monthly,0,8.73,0.81,1,0
Skilith,7,119,268,266.79,532780.68,Monthly,16,15.71,0.87,17,0
Minyx,22,8,647,482.56,549066.16,Weekly,14,5.15,0.61,20,0
Demivee,25,111,781,507.36,623886.24,Daily,1,15.99,0.89,19,0
Thoughtbridge,16,103,676,121.77,871201.19,Monthly,3,8.93,0.07,5,0
Mycat,2,13,943,462.06,30619.76,Daily,19,11.6,0.99,18,1
Feedspan,30,29,849,170.75,493616.22,Weekly,26,6.71,0.64,14,0
Izio,32,65,537,455.31,83159.21,Daily,0,19.19,0.58,8,0
Eidel,14,33,504,299.36,108714.34,Monthly,21,6.65,0.99,12,1
Gabcube,15,72,230,954.29,61910.31,Daily,8,10.06,0.85,10,0
Realfire,6,92,632,209.03,405207.3,Monthly,37,20.38,0.49,9,1
Dynazzy,1,28,685,671.63,676335.75,Daily,49,0.45,0.38,0,0
Skynoodle,20,101,275,801.25,134712.48,Weekly,8,20.0,0.7,12,0
Bluezoom,13,15,145,603.29,628951.94,Monthly,1,12.47,0.1,0,1
Agivu,8,99,182,535.9,488444.71,Weekly,22,21.41,0.78,3,1
Skyble,11,61,818,851.81,534732.17,Daily,15,23.64,0.77,19,0
Eadel,31,55,569,837.06,297515.06,Weekly,45,20.17,0.95,11,0
Fatz,34,101,894,282.74,34311.23,Weekly,2,10.7,0.42,20,0
Wikivu,20,15,613,619.43,915721.69,Weekly,18,3.45,0.84,1,1
Oyoba,23,98,337,775.43,918628.34,Weekly,44,10.87,0.95,8,1
Edgeify,12,90,819,326.35,534927.98,Monthly,22,16.86,0.1,0,1
Voomm,8,14,894,951.28,756969.82,Monthly,36,10.86,0.7,14,0
Tagcat,4,34,799,737.91,885722.07,Weekly,8,11.03,0.62,0,0
Wikizz,26,62,477,456.89,807240.8,Monthly,16,19.2,0.67,1,0
Eire,28,7,68,509.73,926103.91,Weekly,21,0.61,0.57,16,0
Devify,8,5,543,410.86,303797.06,Monthly,48,17.31,0.99,4,1
Tagfeed,17,112,822,736.04,489756.6,Daily,20,7.87,0.07,8,0
Jayo,14,49,347,391.86,760403.28,Monthly,21,17.88,0.93,6,0
Yakidoo,28,45,703,263.71,132608.88,Weekly,21,20.24,0.57,3,0
Riffwire,35,57,408,116.19,601252.24,Weekly,13,12.87,0.56,4,0
Camido,17,88,297,324.36,58211.76,Daily,38,2.66,0.14,15,1
Trilith,24,108,206,844.74,107980.6,Monthly,48,4.95,0.95,3,1
Vinte,7,6,767,976.03,289872.05,Weekly,11,15.5,0.49,11,1
Wikizz,4,69,122,29.05,267402.79,Daily,2,18.65,0.6,15,1
Skiptube,17,33,859,212.28,595677.4,Weekly,19,8.0,0.58,19,1
Gigaclub,17,90,554,460.07,913249.42,Daily,25,8.0,0.9,7,0
Katz,19,77,512,555.15,927376.93,Weekly,1,20.55,0.22,19,1
Linkbridge,11,19,38,386.08,730508.83,Monthly,9,1.76,0.7,4,1
Jabberbean,23,42,392,108.63,79685.08,Monthly,13,8.93,0.23,15,1
Gabcube,27,49,409,246.38,702071.37,Monthly,23,14.63,0.85,19,1
Jabbersphere,16,102,28,189.61,361382.8,Weekly,48,10.5,0.07,14,0
Mita,16,92,498,491.81,142835.44,Monthly,20,1.31,0.03,15,0
Oyoloo,18,17,903,488.38,524825.92,Weekly,45,17.69,0.57,14,1
Quatz,7,105,162,140.88,136313.99,Weekly,33,15.41,0.15,0,1
Abatz,19,46,478,905.35,502544.75,Weekly,2,18.23,0.83,5,1
Eimbee,36,113,216,270.98,466472.24,Daily,42,20.24,0.44,11,0
Kazu,21,68,369,173.71,522113.96,Monthly,37,7.38,0.24,6,0
Zava,15,111,256,833.52,478021.07,Monthly,2,11.99,0.98,20,1
Trilia,31,87,294,37.06,35624.24,Daily,48,0.53,0.72,6,1
Meembee,11,50,165,187.82,234998.54,Daily,48,18.08,0.18,10,1
Brainlounge,13,65,659,112.59,974926.57,Daily,8,16.99,0.31,7,1
Yacero,18,86,867,528.43,668220.83,Monthly,31,4.45,0.12,0,0
Chatterbridge,13,115,635,787.58,308015.05,Monthly,1,3.66,0.4,1,1
Kwideo,14,102,893,345.19,47452.16,Weekly,0,17.97,0.24,13,0
Ntag,34,46,469,471.07,819621.76,Daily,19,13.08,0.51,16,1
Snaptags,7,80,26,257.09,307681.88,Weekly,4,5.85,0.73,19,0
Topicware,2,89,895,540.18,512783.01,Weekly,5,23.34,0.77,14,0
Zoonder,21,15,576,692.08,3725.99,Monthly,1,17.6,0.72,9,1
Skiba,28,119,921,540.44,268151.53,Monthly,40,3.23,0.94,0,0
Linkbuzz,17,43,241,552.64,702091.7,Daily,48,13.08,0.5,5,0
Mybuzz,34,78,853,465.38,639663.41,Weekly,33,0.94,0.62,2,1
Jetwire,4,30,200,181.97,463116.96,Weekly,41,15.06,0.17,5,1
Skimia,17,75,892,698.03,483134.15,Daily,46,0.88,0.63,18,0
Flipstorm,30,59,123,561.03,918282.47,Monthly,31,17.64,0.37,5,0
Realpoint,23,36,4,51.75,451195.24,Weekly,22,8.02,0.97,9,1
Realpoint,21,52,823,707.45,103635.63,Weekly,12,11.84,0.52,8,1
Gigabox,17,74,475,552.91,236664.51,Monthly,33,19.96,0.09,19,1
Bluezoom,35,113,522,757.4,573359.77,Weekly,4,7.71,0.25,4,0
Eidel,28,41,827,303.49,964936.92,Monthly,6,23.54,0.31,16,1
Centizu,16,26,673,147.79,153258.69,Weekly,48,6.97,0.4,20,1
Zooveo,21,64,691,446.43,617313.64,Monthly,45,10.63,0.14,15,0
Tanoodle,12,65,305,125.89,611799.18,Daily,42,15.44,0.41,2,1
Realbuzz,24,82,590,328.62,199745.81,Daily,27,0.95,0.36,14,1
BlogXS,27,115,515,604.59,682209.93,Monthly,33,23.84,0.27,19,1
Skipfire,36,52,336,477.69,861845.53,Monthly,49,17.31,0.3,5,0
Oyoloo,28,17,142,737.49,493303.4,Daily,38,19.22,0.46,1,1
Blogspan,14,77,241,99.67,622755.6,Monthly,22,18.0,0.95,1,0
Mynte,31,48,34,623.5,847817.1,Weekly,30,6.73,0.41,4,0
Yoveo,4,107,168,269.76,338819.0,Weekly,34,6.16,0.64,15,1
Tekfly,29,58,673,361.62,498824.03,Daily,12,22.2,0.53,12,0
Rhyzio,28,30,433,566.33,602249.27,Daily,0,11.12,0.98,6,0
Tagfeed,20,112,345,665.91,538647.13,Monthly,15,8.13,0.35,18,0
Feedmix,22,111,339,100.72,898058.97,Daily,33,19.56,0.84,11,1
Viva,17,78,235,82.6,136389.96,Daily,12,17.02,0.37,6,0
Livefish,9,7,850,148.71,323050.79,Daily,49,0.34,0.06,19,0
Gigaclub,33,5,636,968.6,398436.8,Monthly,9,23.97,0.32,15,0
Minyx,11,37,139,150.84,261698.73,Weekly,19,2.63,0.49,5,1
Rhynoodle,30,117,158,540.01,111435.53,Monthly,15,17.75,0.34,9,0
Yombu,8,41,555,835.63,765432.68,Monthly,31,19.3,0.69,14,0
Flashspan,13,88,790,370.48,706758.86,Monthly,8,4.82,0.91,20,1
Jayo,36,17,282,830.83,168413.25,Weekly,32,22.81,0.19,11,0
Zooveo,8,58,118,582.15,930276.57,Monthly,3,6.72,0.04,18,1
Edgeclub,27,40,800,821.56,687029.71,Daily,33,11.63,0.66,14,1
Feedfish,8,7,25,230.87,494512.58,Weekly,17,12.35,0.27,14,1
Tagtune,33,27,772,806.1,744247.2,Daily,36,15.85,0.57,3,1
Thoughtstorm,15,20,586,571.6,576350.14,Daily,8,16.85,0.01,3,0
Gigashots,20,46,772,309.71,680163.78,Weekly,0,23.5,0.03,4,0
Kare,23,38,522,636.85,743114.05,Daily,44,6.61,0.66,14,0
Oyondu,6,18,680,12.56,338227.4,Weekly,42,1.97,0.68,19,1
Fatz,1,91,813,734.23,122787.11,Weekly,19,15.91,0.91,14,1
Skippad,9,31,205,269.0,423136.19,Daily,33,19.71,0.81,20,0
Janyx,5,84,72,945.4,989767.61,Monthly,42,10.96,0.63,11,1
Topicblab,6,99,644,854.36,545675.99,Weekly,44,7.99,0.31,4,1
Viva,15,80,582,109.59,752733.19,Daily,3,16.38,0.96,6,0
Latz,10,47,164,247.33,708913.76,Weekly,25,23.02,0.32,18,0
Bluezoom,30,76,581,678.21,753241.89,Weekly,31,7.79,0.7,2,0
Zazio,1,45,290,257.06,99505.74,Daily,6,8.41,0.57,10,1
Skilith,8,105,632,279.65,642670.35,Monthly,11,7.85,0.22,16,0
Yadel,2,96,783,701.23,942610.24,Weekly,29,10.52,0.33,18,0
Skibox,18,109,994,461.89,192562.12,Monthly,3,9.44,0.79,10,1
Dynava,31,69,657,882.35,864652.71,Daily,42,14.01,0.17,5,1
Thoughtmix,11,56,436,397.24,708521.11,Monthly,47,22.06,0.93,11,0
Vipe,15,76,107,719.39,865105.48,Weekly,46,16.41,0.68,14,0
Ozu,11,117,113,962.86,458275.17,Monthly,35,2.7,0.17,8,0
Fivespan,17,18,242,720.71,755333.42,Daily,43,19.74,0.27,2,1
Omba,32,88,252,706.95,770742.22,Monthly,40,1.05,0.36,18,1
Devshare,2,113,666,505.18,316751.67,Weekly,26,22.82,0.84,15,1
Realbridge,35,99,916,596.79,946002.6,Daily,48,6.47,0.41,19,1
Centizu,25,102,402,829.58,700049.09,Weekly,18,16.36,0.79,16,1
Topiczoom,12,25,938,650.94,382526.53,Weekly,28,11.9,0.78,13,0
Centidel,27,47,709,792.89,256309.39,Daily,25,23.52,0.71,9,1
Babbleopia,24,79,289,165.09,365717.91,Weekly,50,4.0,0.6,0,1
Thoughtsphere,23,39,254,713.71,460798.05,Monthly,0,13.04,0.76,6,0
Meejo,19,74,976,501.19,176722.96,Monthly,26,13.81,0.27,19,0
Roomm,18,96,159,144.72,200574.72,Monthly,26,8.25,0.9,3,1
Photobean,24,50,500,31.36,199725.39,Daily,24,16.68,0.31,9,0
Chatterbridge,24,39,872,841.83,668782.41,Daily,32,10.66,0.32,20,0
Bluezoom,4,37,652,377.8,463328.13,Daily,29,11.7,0.83,1,1
Kwinu,6,66,246,490.77,469009.4,Monthly,9,3.65,0.45,16,0
Buzzdog,36,61,7,120.39,145603.41,Monthly,5,12.32,0.68,6,0
Avaveo,28,29,650,185.12,152842.16,Monthly,33,1.29,0.99,0,0
Brainbox,28,93,590,551.52,21379.06,Monthly,28,14.06,0.09,6,0
Ntag,33,12,899,987.34,818494.12,Monthly,11,7.99,0.22,6,1
Mynte,22,10,607,54.02,374348.91,Daily,30,9.79,0.14,20,0
Eazzy,19,10,129,580.89,115146.96,Weekly,26,10.48,0.91,0,0
Cogilith,6,4,779,252.73,183937.82,Weekly,29,20.1,0.68,2,1
Kwinu,36,50,832,790.51,317306.32,Weekly,34,3.06,0.99,15,1
Eare,4,5,902,708.41,734217.49,Weekly,7,0.52,0.63,5,1
Talane,23,99,91,568.57,613225.62,Daily,25,14.8,0.86,2,1
Wordpedia,27,96,606,393.13,701607.72,Daily,12,15.78,0.46,11,1
Thoughtstorm,34,56,67,266.38,620089.79,Monthly,22,21.23,0.2,13,1
Plambee,36,65,867,226.45,163868.42,Daily,43,10.05,0.61,0,1
Blogpad,15,38,726,508.69,745868.74,Daily,47,17.04,0.39,19,1
Quire,7,107,155,633.49,761603.41,Monthly,31,11.43,0.85,5,0
Jamia,4,76,824,820.0,835875.25,Daily,49,20.23,0.24,18,1
Bluezoom,34,40,104,657.84,779231.51,Weekly,48,11.55,0.73,17,0
Voonder,25,40,402,113.03,830471.0,Monthly,15,17.98,0.57,10,0
Kayveo,21,6,101,354.13,393123.9,Daily,26,13.88,0.74,17,1
Chatterbridge,2,92,960,727.54,725111.88,Weekly,11,17.51,0.2,8,0
Youopia,26,20,394,486.8,380278.3,Weekly,41,12.66,0.77,0,0
Realcube,2,67,370,209.67,597190.1,Daily,35,12.73,0.26,7,1
Quaxo,35,108,259,514.77,270122.35,Daily,34,22.09,0.58,18,0
Mybuzz,31,72,77,911.16,362438.49,Weekly,41,15.38,0.78,6,0
Wikizz,25,94,963,532.53,41071.44,Weekly,42,18.07,0.1,19,1
Avaveo,18,25,404,616.28,570839.78,Weekly,49,5.67,0.94,10,1
Photobug,30,6,523,901.47,248335.05,Weekly,25,6.14,0.99,7,1
Topdrive,3,45,310,152.19,358990.65,Daily,2,17.19,0.88,17,1
BlogXS,2,90,727,795.24,946412.2,Daily,26,8.76,0.18,19,0
Blogtags,1,86,144,760.51,500424.95,Daily,49,13.81,0.9,11,0
Gabtune,8,51,337,420.19,824125.42,Daily,12,20.78,0.17,4,1
Ntags,22,80,118,691.03,424054.95,Daily,38,16.44,0.58,17,0
Leenti,19,111,418,935.33,129188.02,Weekly,18,21.51,0.8,19,0
Dabtype,23,61,54,997.06,577407.47,Monthly,0,13.23,0.53,0,1
Avaveo,12,55,774,566.08,721054.93,Monthly,3,5.67,0.22,9,1
Jabbersphere,21,23,601,352.02,351567.29,Monthly,41,10.25,0.97,13,0
Quatz,33,32,342,761.52,462904.45,Daily,36,21.53,0.62,8,1
Wordify,36,6,564,29.18,477859.23,Daily,31,2.91,0.37,18,0
Meejo,10,26,733,631.84,680995.97,Monthly,19,4.92,0.85,19,0
Wikido,11,64,653,41.14,466576.94,Monthly,47,6.89,0.27,16,1
Centimia,30,11,770,127.19,372369.7,Daily,22,17.0,0.15,6,1
Omba,33,4,858,204.57,400896.14,Weekly,17,22.62,0.88,18,0
Gabcube,5,81,903,591.57,566567.82,Daily,45,4.28,0.28,20,0
Izio,30,49,963,972.16,771560.98,Daily,24,13.53,0.42,18,1
Riffwire,10,90,3,646.06,451706.27,Weekly,4,4.49,0.27,12,0
Youopia,8,26,349,859.63,640035.85,Weekly,14,10.96,0.88,4,1
Lazz,8,51,540,404.1,382520.03,Weekly,16,1.4,0.34,14,1
Mynte,7,20,118,102.83,843521.32,Daily,24,6.76,0.74,5,0
Yacero,8,12,865,746.95,980940.45,Daily,30,13.99,0.2,1,1
Meedoo,12,108,598,617.29,939233.59,Weekly,15,18.07,0.01,5,1
Devpoint,25,39,374,586.61,347687.91,Weekly,0,0.87,0.86,17,1
Rhynyx,23,95,609,416.13,451738.08,Daily,45,10.01,0.75,13,0
Feedspan,20,102,174,390.82,196068.95,Daily,13,14.43,0.87,14,1
Vipe,17,55,905,559.24,733900.53,Monthly,26,4.81,0.7,7,1
Twitterbridge,31,110,999,549.48,883990.82,Weekly,32,15.53,0.54,12,0
Mynte,5,91,207,619.32,439822.11,Monthly,4,5.41,0.21,1,1
Quinu,29,4,810,288.61,603524.69,Weekly,25,17.48,0.24,16,1
Podcat,25,99,825,348.27,264310.64,Daily,23,2.63,0.63,7,0
Fatz,12,76,135,657.24,65909.34,Weekly,6,14.88,0.79,14,0
Kanoodle,10,26,220,510.65,606509.95,Weekly,40,0.2,0.02,19,1
Zoombeat,29,0,694,445.43,867840.61,Daily,17,17.66,0.24,16,1
Shufflebeat,24,99,661,851.55,828096.23,Monthly,30,5.65,0.94,1,0
Viva,11,95,306,213.67,271516.81,Weekly,7,17.25,0.19,7,0
Yotz,4,94,175,284.74,155077.01,Monthly,13,18.14,0.89,8,1
Skalith,13,87,361,787.86,626853.16,Monthly,9,2.69,0.11,20,1
Kazio,25,86,82,271.19,329448.43,Daily,9,5.38,0.88,13,0
Ntag,19,53,712,383.82,958997.55,Monthly,13,14.5,0.89,20,1
Bubbletube,5,15,576,76.72,948679.42,Daily,21,8.28,0.72,20,1
Janyx,35,55,159,556.8,272031.3,Weekly,25,18.36,0.12,17,1
Quire,5,26,324,91.69,432125.93,Monthly,29,23.19,0.33,11,1
Quatz,23,120,740,401.24,503334.23,Daily,40,11.1,0.24,6,1
Buzzster,4,110,406,699.65,65282.7,Daily,25,9.05,0.29,17,0
Buzzdog,9,113,32,41.33,830352.55,Daily,49,1.36,0.52,20,1
Tazz,23,113,696,824.64,476796.92,Monthly,14,13.39,0.44,0,1
Jaloo,8,69,869,758.4,702324.35,Monthly,37,6.54,0.56,8,0
Trudoo,17,74,797,11.55,82246.69,Daily,10,17.99,0.77,2,1
Dabjam,18,112,860,438.13,79253.66,Monthly,8,2.2,0.73,12,0
Rhynoodle,13,71,345,812.07,175952.59,Monthly,50,16.35,0.5,2,1
Abata,23,90,216,494.51,127223.49,Weekly,36,4.89,0.45,16,1
Thoughtbeat,26,68,652,156.15,640481.45,Daily,40,14.65,0.52,13,0
Divape,24,44,864,634.96,585190.29,Weekly,15,14.92,0.25,9,1
Photobean,11,75,140,884.6,848824.81,Monthly,13,15.73,0.98,7,1
Brainverse,3,71,768,60.74,416125.36,Weekly,13,5.76,0.83,11,1
Twitterwire,11,58,437,6.2,504307.92,Weekly,37,2.77,0.35,12,0
Minyx,29,39,490,182.81,528073.07,Monthly,9,21.99,0.86,4,0
Abata,4,58,435,216.22,371855.22,Daily,25,17.51,0.52,11,0
Jabbercube,29,96,813,992.49,401523.49,Daily,49,10.36,0.7,8,0
Eabox,35,110,620,100.22,226085.33,Weekly,20,4.48,0.77,11,0
Feedfire,27,117,499,73.93,39051.49,Monthly,50,14.67,0.55,19,0
Mynte,19,118,35,596.47,23690.81,Weekly,26,14.13,0.57,2,0
Fatz,28,30,491,578.27,724240.45,Weekly,13,5.92,0.67,8,0
Buzzbean,8,49,432,292.01,228530.13,Daily,29,10.0,0.88,7,1
Fiveclub,11,56,930,493.75,893563.02,Weekly,38,16.43,0.97,17,1
Youtags,24,96,80,925.11,422494.45,Monthly,4,9.28,0.44,13,0
Izio,32,13,606,921.3,649407.26,Monthly,34,11.86,0.6,12,1
Yacero,12,71,50,135.42,194315.59,Weekly,47,6.26,0.28,2,0
Youtags,32,63,234,882.62,321871.68,Daily,35,8.64,0.26,7,1
Myworks,35,11,851,860.11,984241.39,Weekly,30,12.4,0.18,5,0
